cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,density,pressure_absolute,compressible_temperature,mach_number
292,9.37500000000000000e-02,4.06250000000000014e-02,1.81783407143404574e+01,-1.90137838641224900e-03,1.81783408137785685e+01,5.19503163197387330e+04,1.93171251248207687e+00,1.66349423012394051e+05,3.00000000000000000e+02,5.30084102587418393e-02
293,1.14583333333333329e-01,4.06250000000000014e-02,1.81852583314452687e+01,2.23580164135975669e-04,1.81852583328196822e+01,4.77040815847007616e+04,1.89721600720069561e+00,1.63378756460087898e+05,3.00000000000000000e+02,5.62972546599382062e-02
294,1.35416666666666657e-01,4.06250000000000014e-02,1.81783509175786193e+01,8.08286144849623431e-06,1.81783509175804170e+01,4.96667781858880844e+04,1.90051827691634934e+00,1.63663131416651420e+05,3.00000000000000000e+02,5.39182302355219814e-02
295,1.56250000000000000e-01,4.06250000000000014e-02,1.81852140271359595e+01,1.13049111662090478e-05,1.81852140271394731e+01,4.54238600753770879e+04,1.87216085520681141e+00,1.61221132046134560e+05,3.00000000000000000e+02,5.70180833494131553e-02
296,1.77083333333333315e-01,4.06250000000000014e-02,1.81784455191663383e+01,4.15192413019519205e-06,1.81784455191668108e+01,4.73831804884315643e+04,1.86913158306244354e+00,1.60960266275422327e+05,3.00000000000000000e+02,5.48617598655892907e-02
297,1.97916666666666657e-01,4.06250000000000014e-02,1.81851545946607835e+01,-3.29573215906617565e-06,1.81851545946610820e+01,4.31435912817427306e+04,1.84644080035151847e+00,1.59006249522271013e+05,3.00000000000000000e+02,5.77820129925585083e-02
298,2.18750000000000000e-01,4.06250000000000014e-02,1.81785193654836661e+01,4.08540335369311062e-06,1.81785193654841279e+01,4.50996077467802170e+04,1.83752284853681536e+00,1.58238280101747863e+05,3.00000000000000000e+02,5.58403964439832950e-02
299,2.39583333333333315e-01,4.06250000000000014e-02,1.81850756497527293e+01,-4.42287479475306002e-06,1.81850756497532657e+01,4.08632864994097545e+04,1.82004598986167943e+00,1.56733260416938516e+05,3.00000000000000000e+02,5.85920725029126788e-02
300,2.60416666666666630e-01,4.06250000000000014e-02,1.81786056628624557e+01,4.78538642304772305e-06,1.81786056628630881e+01,4.28160732623608055e+04,1.80565992255984309e+00,1.55494404231240886e+05,3.00000000000000000e+02,5.68576555429783775e-02
301,2.81250000000000000e-01,4.06250000000000014e-02,1.81849824227233192e+01,-5.13707454020844283e-06,1.81849824227240440e+01,3.85829396557297805e+04,1.79296420062587636e+00,1.54401112136897340e+05,3.00000000000000000e+02,5.94516662376729441e-02
302,3.02083333333333315e-01,4.06250000000000014e-02,1.81787057047624714e+01,5.45511103124042223e-06,1.81787057047632921e+01,4.05325842339425435e+04,1.77350889891555208e+00,1.52725718830112775e+05,3.00000000000000000e+02,5.79172943281859240e-02
303,3.22916666666666630e-01,4.06250000000000014e-02,1.81848757488903452e+01,-5.78224662828210479e-06,1.81848757488912653e+01,3.63025439787309224e+04,1.76518103848399521e+00,1.52008565129049239e+05,3.00000000000000000e+02,6.03645809682672591e-02
304,3.43750000000000000e-01,4.06250000000000014e-02,1.81788189421549582e+01,6.11984342505424031e-06,1.81788189421559885e+01,3.82491473129355072e+04,1.74103400733788694e+00,1.49929143541902129e+05,3.00000000000000000e+02,5.90235100314781061e-02
305,3.64583333333333315e-01,4.06250000000000014e-02,1.81847560207771615e+01,-6.46659681353233504e-06,1.81847560207783125e+01,3.40220929499670965e+04,1.73667971816311217e+00,1.49554173929616401e+05,3.00000000000000000e+02,6.13350859648365415e-02
306,3.85416666666666630e-01,4.06250000000000014e-02,1.81789450978166514e+01,6.79086427437136663e-06,1.81789450978179197e+01,3.59657689259613180e+04,1.70819735770145376e+00,1.47101415458460688e+05,3.00000000000000000e+02,6.01810229652109396e-02
307,4.06250000000000000e-01,4.06250000000000014e-02,1.81846236123106735e+01,-7.09165999330678542e-06,1.81846236123120555e+01,3.17415802248964392e+04,1.70744078239993136e+00,1.47036262976370082e+05,3.00000000000000000e+02,6.23680159550459579e-02
308,4.27083333333333315e-01,4.06250000000000014e-02,1.81790835793090118e+01,7.37333224367467906e-06,1.81790835793105074e+01,3.36824553209957885e+04,1.67495863680229284e+00,1.44239063008229452e+05,3.00000000000000000e+02,6.13951663192319197e-02
309,4.47916666666666630e-01,4.06250000000000014e-02,1.81844792526231949e+01,-7.66524640762290315e-06,1.81844792526248114e+01,2.94609997068827070e+04,1.67744177002540140e+00,1.44452898025737435e+05,3.00000000000000000e+02,6.34688695211395731e-02
310,4.68750000000000000e-01,4.06250000000000014e-02,1.81792336744579828e+01,7.94237748107761990e-06,1.81792336744597200e+01,3.13992124117564235e+04,1.64127474786114846e+00,1.41338374912062805e+05,3.00000000000000000e+02,6.26719941159221000e-02
311,4.89583333333333315e-01,4.06250000000000014e-02,1.81843235682992450e+01,-8.22232777521242707e-06,1.81843235683011031e+01,2.71803456696887333e+04,1.64665682470357000e+00,1.41801852459347923e+05,3.00000000000000000e+02,6.46439290486950646e-02
312,5.10416666666666630e-01,4.06250000000000014e-02,1.81793948607426827e+01,8.51772733715335886e-06,1.81793948607446794e+01,2.91160457591589948e+04,1.60709938623854653e+00,1.38395363645932433e+05,3.00000000000000000e+02,6.40184148607259168e-02
313,5.31250000000000000e-01,4.06250000000000014e-02,1.81841570726083823e+01,-8.76178145218968685e-06,1.81841570726104962e+01,2.48996126399761997e+04,1.61505623048455949e+00,1.39080567288177845e+05,3.00000000000000000e+02,6.59004079827688050e-02
314,5.52083333333333259e-01,4.06250000000000014e-02,1.81795664787927507e+01,8.99108327224633462e-06,1.81795664787949747e+01,2.68329607265377854e+04,1.57238253383564586e+00,1.35405721901256649e+05,3.00000000000000000e+02,6.54423548493903995e-02
