cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
27077,1.71875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-3.57260079774100181e-02,1.83304352214848670e-01,5.14706684132073319e-03,1.86824317164485554e-01,-2.18951637108746426e-02
27078,2.03125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-4.30145456475964777e-02,1.73021904124799897e-01,-1.19315406232348726e-02,1.78687414514521720e-01,-2.41314639652607313e-02
27079,2.34375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-4.98530539611011445e-02,1.61676264096248246e-01,-2.82928883925655968e-02,1.71537252207683566e-01,-2.61006781706577505e-02
27080,2.65625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-5.63990436068694603e-02,1.48303717574089639e-01,-4.21562649376178780e-02,1.64170629040506333e-01,-2.77801527758555766e-02
27081,2.96875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-6.25511271105622796e-02,1.32358882681885087e-01,-5.15243301229241363e-02,1.55197531946274198e-01,-2.92384765001735304e-02
27082,3.28125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-6.77353091331630575e-02,1.13897707781873248e-01,-5.64511379224375207e-02,1.44039893481174908e-01,-3.05606219002294427e-02
27083,3.59375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.12923459544015647e-02,9.33295844876383118e-02,-5.81944471535055310e-02,1.31070986918613852e-01,-3.17960250386862334e-02
27084,3.90625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.30860859019076409e-02,7.13701095883599174e-02,-5.74474689665355059e-02,1.17198464946331890e-01,-3.28322903280097028e-02
27085,4.21875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.34593463334410474e-02,4.91794535265386995e-02,-5.40923462087024021e-02,1.03638198224725711e-01,-3.36554118411163811e-02
27086,4.53125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.36865847535112944e-02,2.77130564687207114e-02,-4.97429409360142100e-02,9.31240379517485617e-02,-3.42876647590509495e-02
27087,4.84375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.36779826374703434e-02,7.64969685069489137e-03,-4.51467422225906648e-02,8.67478606119364976e-02,-3.47542588784591211e-02
27088,5.15625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.40827389529369329e-02,-1.08059163934137413e-02,-4.08232878679941347e-02,8.52734476388961604e-02,-3.50281703393924629e-02
27089,5.46875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.51387480334968494e-02,-2.76390122603268687e-02,-3.68703107462623261e-02,8.81428741833040763e-02,-3.51071231162923825e-02
27090,5.78125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-7.71993247389835408e-02,-4.34605736907756057e-02,-3.33550278255743682e-02,9.46631664742481199e-02,-3.50325400244459600e-02
27091,6.09375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-8.05383048956636177e-02,-5.99112515375055388e-02,-3.02248173962529898e-02,1.04829939439522582e-01,-3.48297567857420234e-02
27092,6.40625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-8.55204835200629593e-02,-7.83509503193486195e-02,-2.72122258218912214e-02,1.19134922468737095e-01,-3.44622711564238904e-02
27093,6.71875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-9.26963606172708926e-02,-1.00104442120156012e-01,-2.40437751886934982e-02,1.38533814389120269e-01,-3.38721270741839317e-02
27094,7.03125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.02795550878392969e-01,-1.27526194789792741e-01,-2.05133712115941197e-02,1.65077721199503757e-01,-3.29756581888346265e-02
27095,7.34375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.16262228995951261e-01,-1.62933018205532326e-01,-1.65907571590547566e-02,2.00846527318203988e-01,-3.16733537044867342e-02
27096,7.65625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.31514645088033816e-01,-2.06515680796099055e-01,-1.24777380989098477e-02,2.45154078561570649e-01,-2.97517918979948656e-02
27097,7.96875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.43143381079650384e-01,-2.53573989065048022e-01,-8.23404405330288580e-03,2.91303269735763204e-01,-2.66768123202337192e-02
27098,8.28125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.46628256795927586e-01,-2.93157273357732340e-01,-4.00845853969009850e-03,3.27806498339213992e-01,-2.26763025419597676e-02
27099,8.59375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.40319393484475557e-01,-3.10925192051266341e-01,-1.66555231227284673e-03,3.41125755850350376e-01,-1.97729028270084949e-02
27100,8.90625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.12194260497879075e-01,-2.97126814347297541e-01,-2.07067301028553748e-03,3.17610112527222432e-01,-1.59973634775821723e-02
27101,9.21875000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-6.75116363080361520e-02,-2.15451168856007652e-01,-2.88300316312221829e-03,2.25799333271041874e-01,-1.37349778189793503e-02
27102,9.53125000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-2.41757795633351785e-02,-1.08890635331103422e-01,-3.59324174929031475e-03,1.11599955943428419e-01,-1.41055470441468107e-02
27103,9.84375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-5.38736780614866313e-03,-2.76075103430475366e-02,-2.61117141642361501e-03,2.82491871632822647e-02,-1.53148758888017253e-02
27104,1.56250000000000000e-02,4.84375000000000000e-01,8.28125000000000000e-01,1.26273541098386312e-03,6.85399298067083107e-02,1.62826600100928510e-02,7.04587928908162048e-02,-1.52011853407616315e-02
27105,4.68750000000000000e-02,4.84375000000000000e-01,8.28125000000000000e-01,2.74851235105520210e-03,1.57033735652327616e-01,3.76937689342930968e-02,1.61517703888895386e-01,-1.54441595674826414e-02
27106,7.81250000000000000e-02,4.84375000000000000e-01,8.28125000000000000e-01,-2.24945348139921715e-03,1.94572831025052823e-01,4.29599138121310037e-02,1.99271675881983940e-01,-1.67429991555570028e-02
27107,1.09375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-9.50706936160772287e-03,2.02806007165442614e-01,3.49871639126737577e-02,2.06021267224741345e-01,-1.87274831352602748e-02
27108,1.40625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.67771946062193859e-02,1.97846302173168898e-01,2.07578631437433381e-02,1.99638479318858253e-01,-2.09859591945804717e-02
27109,1.71875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-2.34646845112420760e-02,1.88490630948121435e-01,4.03772967160462813e-03,1.89988453952691538e-01,-2.32472300808576719e-02
27110,2.03125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-2.96672899259342489e-02,1.78335573770244060e-01,-1.30165957670903623e-02,1.81254397819405833e-01,-2.53400586161098666e-02
27111,2.34375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-3.53641847190799899e-02,1.67155643154089317e-01,-2.90689401570213383e-02,1.73310812937205239e-01,-2.71855692782094899e-02
27112,2.65625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-4.07975758401295796e-02,1.53815269690448786e-01,-4.21495872209560196e-02,1.64621283822212972e-01,-2.87654801454023702e-02
27113,2.96875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-4.60475272536347568e-02,1.37694895947353652e-01,-5.12104446183776069e-02,1.53957035481132543e-01,-3.01303752813153781e-02
27114,3.28125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.07325440082464774e-02,1.18866821841781822e-01,-5.58330839573073501e-02,1.40785104398506222e-01,-3.13782943325155439e-02
27115,3.59375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.42433678151634652e-02,9.78598860081912048e-02,-5.71038231211458552e-02,1.25617462386876766e-01,-3.25596855389659462e-02
27116,3.90625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.60037953157682539e-02,7.55747999508397938e-02,-5.54831339436781326e-02,1.09207846007473519e-01,-3.35548850579856991e-02
27117,4.21875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.63748964456090504e-02,5.32657217282704182e-02,-5.18108517901101906e-02,9.32723454390605861e-02,-3.43520075568977470e-02
27118,4.53125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.63621952126670614e-02,3.20225022072286106e-02,-4.71811516644028012e-02,8.01760486004525486e-02,-3.49330525578056342e-02
27119,4.84375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.65383239792925235e-02,1.24919141012094278e-02,-4.23706347230193014e-02,7.17488723474520446e-02,-3.53419244860989634e-02
27120,5.15625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.69734258106561406e-02,-5.16463995203905214e-03,-3.79227941758698214e-02,6.86351445874627958e-02,-3.55886749271837124e-02
27121,5.46875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.79704322495286778e-02,-2.11826400927198691e-02,-3.39808946197947409e-02,7.04554927287893845e-02,-3.56690567317896889e-02
27122,5.78125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-5.97435432620066001e-02,-3.59000014196128800e-02,-3.05320681741260910e-02,7.60940750020456247e-02,-3.56097091901689117e-02
27123,6.09375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-6.24755866197625881e-02,-5.06364049563233498e-02,-2.75114710162474296e-02,8.49948555376267983e-02,-3.54458345984539833e-02
27124,6.40625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-6.64380193157206034e-02,-6.68166689504642031e-02,-2.46797752536631089e-02,9.74041527184714706e-02,-3.51602052212411226e-02
27125,6.71875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-7.21311123674000937e-02,-8.55198676988875583e-02,-2.17403944116215143e-02,1.13970127190271192e-01,-3.47158123985764205e-02
27126,7.03125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-8.03935363155268701e-02,-1.09066792832620094e-01,-1.84382120722213841e-02,1.36743020460021347e-01,-3.40472621208409015e-02
27127,7.34375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-9.23909656460429884e-02,-1.40890537042156649e-01,-1.46470295300096618e-02,1.69117620120106310e-01,-3.30557166138198549e-02
27128,7.65625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.08516821353292589e-01,-1.83774818614333979e-01,-1.05739975265906998e-02,2.13684098371980213e-01,-3.16020060182304122e-02
27129,7.96875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.25254142588995698e-01,-2.35918573311601931e-01,-6.56255037006137423e-03,2.67187650419037470e-01,-2.92885784405662111e-02
27130,8.28125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.34756031579220864e-01,-2.87110922214937780e-01,-2.66682886312821560e-03,3.17173425239690054e-01,-2.55727200229225980e-02
27131,8.59375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.35271793420351727e-01,-3.19955843061883682e-01,3.34687552345681091e-04,3.47376325647498263e-01,-2.18416206800169932e-02
27132,8.90625000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-1.18101773497518506e-01,-3.25969698641383698e-01,6.64192335461677506e-04,3.46705515512909235e-01,-1.90320911912353861e-02
27133,9.21875000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-7.80917301667750502e-02,-2.60849711814500784e-01,-1.38924748858035578e-03,2.72291792903739671e-01,-1.54263461411922563e-02
27134,9.53125000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-3.12814910183387904e-02,-1.42614241989770546e-01,-2.90800981228869380e-03,1.46033592778222143e-01,-1.53860675793625994e-02
27135,9.84375000000000000e-01,4.84375000000000000e-01,8.28125000000000000e-01,-7.50019432943009948e-03,-4.20598193010610633e-02,-2.76416096395873173e-03,4.28126371583414309e-02,-1.68439416913524348e-02
27136,1.56250000000000000e-02,5.15625000000000000e-01,8.28125000000000000e-01,1.71857937183212198e-03,6.62639634628020696e-02,1.44312182337189565e-02,6.78389742593892564e-02,-1.70392374177469608e-02
27137,4.68750000000000000e-02,5.15625000000000000e-01,8.28125000000000000e-01,5.41490916752598167e-03,1.55466853463048199e-01,3.46755798323613723e-02,1.59378981059937530e-01,-1.70914517818285851e-02
27138,7.81250000000000000e-02,5.15625000000000000e-01,8.28125000000000000e-01,4.28641797696694814e-03,1.97743417661144949e-01,4.08393077319224723e-02,2.01962079765994534e-01,-1.82242896203859348e-02
27139,1.09375000000000000e-01,5.15625000000000000e-01,8.28125000000000000e-01,-5.06347939218159608e-04,2.06886686656418906e-01,3.39574381961241720e-02,2.09655586886565964e-01,-2.00745946349456250e-02
27140,1.40625000000000000e-01,5.15625000000000000e-01,8.28125000000000000e-01,-6.25362310651462854e-03,2.01976304121851441e-01,2.02042233262101426e-02,2.03080638833189442e-01,-2.21904508017765102e-02
